switch_status,voltage(V),current(A),time(s),AH,WH,temperature(??C),stop_voltage(V),timer(s),TimeStamp
True,3.448,0.0,19,0.0,0.0,23,0.25,20,2025-03-07 01:47:36.522055
True,3.341,10.0,18,0.0,0.0,23,0.25,20,2025-03-07 01:47:38.000788
True,3.338,10.0,16,0.0,0.002,23,0.25,20,2025-03-07 01:47:39.467567
True,3.336,10.0,15,0.001,0.003,23,0.25,20,2025-03-07 01:47:40.949384
True,3.334,10.0,13,0.001,0.005,23,0.25,20,2025-03-07 01:47:42.459106
True,3.332,10.0,12,0.001,0.006,23,0.25,20,2025-03-07 01:47:43.941897
True,3.331,10.0,10,0.002,0.008,23,0.25,20,2025-03-07 01:47:45.408413
True,3.33,10.0,9,0.002,0.009,23,0.25,20,2025-03-07 01:47:46.889805
True,3.329,10.0,7,0.003,0.011,23,0.25,20,2025-03-07 01:47:48.353464
True,3.327,10.0,6,0.003,0.012,23,0.25,20,2025-03-07 01:47:49.818171
True,3.326,10.0,4,0.004,0.013,23,0.25,20,2025-03-07 01:47:51.299576
True,3.326,10.0,3,0.004,0.014,23,0.25,20,2025-03-07 01:47:52.765358
True,3.324,10.0,2,0.005,0.016,23,0.25,20,2025-03-07 01:47:54.249154
